City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,lebu,-37.62,-73.65,57.79,94,14,5.79,CL,1615093289
88,geraldton,-28.77,114.6,93.2,31,0,17.27,AU,1615093289
89,kuito,-12.38,16.93,56.82,90,73,2.75,AO,1615093290
90,bluff,-46.6,168.33,51.01,80,82,21.0,NZ,1615093198
91,broome,42.25,-75.83,19.99,73,75,8.05,US,1615093291
92,axim,4.87,-2.24,79.16,88,99,7.09,GH,1615093291
93,saint-philippe,-21.36,55.77,80.6,89,75,21.85,RE,1615093155
94,inta,66.03,60.17,-12.82,89,86,1.77,RU,1615093293
95,ust-nera,64.57,143.2,-19.66,77,100,7.09,RU,1615093293
96,belaya gora,68.53,146.42,-13.11,87,100,17.05,RU,1615093294
97,polunochnoye,60.87,60.42,0.12,90,32,2.86,RU,1615093156
98,adrar,20.5,-10.07,63.07,30,59,18.23,MR,1615093295
99,puerto ayora,-0.74,-90.35,75.0,98,41,1.01,EC,1615093150
100,beira,-19.84,34.84,75.2,94,20,4.92,MZ,1615093296
101,orange,33.7,-117.77,57.2,77,75,4.61,US,1615093000
102,kaeo,-35.1,173.78,72.0,55,18,14.0,NZ,1615093158
103,sibolga,1.74,98.78,76.33,88,99,5.3,ID,1615093298
104,hobyo,5.35,48.53,79.45,69,37,19.48,SO,1615093299
105,clyde river,70.47,-68.59,-22.0,69,1,5.75,CA,1615093192
106,beian,63.66,9.57,33.8,75,75,34.52,NO,1615093300
107,airai,-8.93,125.41,73.02,83,35,1.92,TL,1615093150
108,chuy,-33.7,-53.46,65.17,81,32,1.21,UY,1615093174
109,beloha,-25.17,45.05,76.46,65,4,7.83,MG,1615093301
110,esperance,-33.87,121.9,71.6,73,90,9.22,AU,1615093302
111,batouri,4.43,14.37,61.29,80,53,3.69,CM,1615093303
112,lumajang,-8.13,113.22,85.5,66,79,3.76,ID,1615093303
113,puerto cabezas,14.04,-83.39,73.44,82,0,8.48,NI,1615093304
114,tilichiki,60.47,166.1,-14.15,85,100,15.99,RU,1615093305
115,tupik,54.43,119.93,14.59,89,34,3.44,RU,1615093306
116,constitucion,-35.33,-72.42,59.5,81,20,5.19,CL,1615093307
117,ucluelet,48.93,-125.55,46.0,82,100,7.0,CA,1615093307
118,hasaki,35.73,140.83,50.0,57,75,12.66,JP,1615093308
119,manakara,-22.13,48.02,77.61,82,26,10.02,MG,1615093308
120,mataura,-46.19,168.86,52.0,77,71,15.01,NZ,1615093309
121,bratsk,56.13,101.61,32.0,40,100,8.95,RU,1615093169
122,huambo,-12.78,15.74,57.52,93,97,3.67,AO,1615093310
123,pimenta bueno,-11.67,-61.19,73.71,93,85,1.68,BR,1615093311
124,jamestown,42.1,-79.24,19.99,94,1,5.19,US,1615093013
125,ketchikan,55.34,-131.65,39.2,75,90,8.37,US,1615093260
126,ribeira grande,38.52,-28.7,61.75,92,94,12.35,PT,1615093313
127,touros,-5.2,-35.46,75.2,94,40,3.44,BR,1615093313
128,iqaluit,63.75,-68.51,-7.6,77,90,23.02,CA,1615093262
129,longyearbyen,78.22,15.64,-0.4,78,20,14.97,SJ,1615093314
